code,name,idx
000001.SZ,平安银行,沪深300
000002.SZ,万 科Ａ,沪深300
000063.SZ,中兴通讯,沪深300
000066.SZ,中国长城,沪深300
000069.SZ,华侨城Ａ,沪深300
000100.SZ,TCL科技,沪深300
000157.SZ,中联重科,沪深300
000166.SZ,申万宏源,沪深300
000333.SZ,美的集团,沪深300
000338.SZ,潍柴动力,沪深300
000425.SZ,徐工机械,沪深300
000538.SZ,云南白药,沪深300
000568.SZ,泸州老窖,沪深300
000596.SZ,古井贡酒,沪深300
000625.SZ,长安汽车,沪深300
000627.SZ,天茂集团,沪深300
000651.SZ,格力电器,沪深300
000656.SZ,金科股份,沪深300
000661.SZ,长春高新,沪深300
000671.SZ,阳 光 城,沪深300
000703.SZ,恒逸石化,沪深300
000708.SZ,中信特钢,沪深300
000723.SZ,美锦能源,沪深300
000725.SZ,京东方Ａ,沪深300
000728.SZ,国元证券,沪深300
000768.SZ,中航西飞,沪深300
000776.SZ,广发证券,沪深300
000783.SZ,长江证券,沪深300
000786.SZ,北新建材,沪深300
000858.SZ,五 粮 液,沪深300
000860.SZ,顺鑫农业,沪深300
000876.SZ,新 希 望,沪深300
000895.SZ,双汇发展,沪深300
000938.SZ,紫光股份,沪深300
000961.SZ,中南建设,沪深300
000963.SZ,华东医药,沪深300
000977.SZ,浪潮信息,沪深300
001979.SZ,招商蛇口,沪深300
002001.SZ,新 和 成,沪深300
002007.SZ,华兰生物,沪深300
002008.SZ,大族激光,沪深300
002024.SZ,苏宁易购,沪深300
002027.SZ,分众传媒,沪深300
002032.SZ,苏 泊 尔,沪深300
002044.SZ,美年健康,沪深300
002049.SZ,紫光国微,沪深300
002050.SZ,三花智控,沪深300
002120.SZ,韵达股份,沪深300
002129.SZ,中环股份,沪深300
002142.SZ,宁波银行,沪深300
002146.SZ,荣盛发展,沪深300
002153.SZ,石基信息,沪深300
002157.SZ,正邦科技,沪深300
002179.SZ,中航光电,沪深300
002202.SZ,金风科技,沪深300
002230.SZ,科大讯飞,沪深300
002236.SZ,大华股份,沪深300
002241.SZ,歌尔股份,沪深300
002252.SZ,上海莱士,沪深300
002271.SZ,东方雨虹,沪深300
002304.SZ,洋河股份,沪深300
002311.SZ,海大集团,沪深300
002352.SZ,顺丰控股,沪深300
002371.SZ,北方华创,沪深300
002384.SZ,东山精密,沪深300
002410.SZ,广联达,沪深300
002414.SZ,高德红外,沪深300
002415.SZ,海康威视,沪深300
002422.SZ,科伦药业,沪深300
002456.SZ,欧菲光,沪深300
002460.SZ,赣锋锂业,沪深300
002463.SZ,沪电股份,沪深300
002475.SZ,立讯精密,沪深300
002493.SZ,荣盛石化,沪深300
002508.SZ,老板电器,沪深300
002555.SZ,三七互娱,沪深300
002558.SZ,巨人网络,沪深300
002594.SZ,比亚迪,沪深300
002600.SZ,领益智造,沪深300
002601.SZ,龙蟒佰利,沪深300
002602.SZ,世纪华通,沪深300
002607.SZ,中公教育,沪深300
002624.SZ,完美世界,沪深300
002673.SZ,西部证券,沪深300
002714.SZ,牧原股份,沪深300
002736.SZ,国信证券,沪深300
002739.SZ,万达电影,沪深300
002773.SZ,康弘药业,沪深300
002812.SZ,恩捷股份,沪深300
002821.SZ,凯莱英,沪深300
002841.SZ,视源股份,沪深300
002916.SZ,深南电路,沪深300
002938.SZ,鹏鼎控股,沪深300
002939.SZ,长城证券,沪深300
002945.SZ,华林证券,沪深300
002958.SZ,青农商行,沪深300
003816.SZ,中国广核,沪深300
300003.SZ,乐普医疗,沪深300
300014.SZ,亿纬锂能,沪深300
300015.SZ,爱尔眼科,沪深300
300033.SZ,同花顺,沪深300
300059.SZ,东方财富,沪深300
300122.SZ,智飞生物,沪深300
300124.SZ,汇川技术,沪深300
300136.SZ,信维通信,沪深300
300142.SZ,沃森生物,沪深300
300144.SZ,宋城演艺,沪深300
300347.SZ,泰格医药,沪深300
300408.SZ,三环集团,沪深300
300413.SZ,芒果超媒,沪深300
300433.SZ,蓝思科技,沪深300
300498.SZ,温氏股份,沪深300
300529.SZ,健帆生物,沪深300
300601.SZ,康泰生物,沪深300
300628.SZ,亿联网络,沪深300
300676.SZ,华大基因,沪深300
600000.SH,浦发银行,沪深300
600004.SH,白云机场,沪深300
600009.SH,上海机场,沪深300
600010.SH,包钢股份,沪深300
600011.SH,华能国际,沪深300
600015.SH,华夏银行,沪深300
600016.SH,民生银行,沪深300
600018.SH,上港集团,沪深300
600019.SH,宝钢股份,沪深300
600025.SH,华能水电,沪深300
600027.SH,华电国际,沪深300
600028.SH,中国石化,沪深300
600029.SH,南方航空,沪深300
600030.SH,中信证券,沪深300
600031.SH,三一重工,沪深300
600036.SH,招商银行,沪深300
600048.SH,保利地产,沪深300
600050.SH,中国联通,沪深300
600061.SH,国投资本,沪深300
600066.SH,宇通客车,沪深300
600068.SH,葛洲坝,沪深300
600085.SH,同仁堂,沪深300
600104.SH,上汽集团,沪深300
600109.SH,国金证券,沪深300
600111.SH,北方稀土,沪深300
600115.SH,东方航空,沪深300
600118.SH,中国卫星,沪深300
600150.SH,中国船舶,沪深300
600161.SH,天坛生物,沪深300
600176.SH,中国巨石,沪深300
600177.SH,雅戈尔,沪深300
600183.SH,生益科技,沪深300
600196.SH,复星医药,沪深300
600208.SH,新湖中宝,沪深300
600233.SH,圆通速递,沪深300
600271.SH,航天信息,沪深300
600276.SH,恒瑞医药,沪深300
600297.SH,广汇汽车,沪深300
600299.SH,安迪苏,沪深300
600309.SH,万华化学,沪深300
600332.SH,白云山,沪深300
600340.SH,华夏幸福,沪深300
600346.SH,恒力石化,沪深300
600352.SH,浙江龙盛,沪深300
600362.SH,江西铜业,沪深300
600369.SH,西南证券,沪深300
600383.SH,金地集团,沪深300
600390.SH,五矿资本,沪深300
600406.SH,国电南瑞,沪深300
600436.SH,片仔癀,沪深300
600438.SH,通威股份,沪深300
600482.SH,中国动力,沪深300
600487.SH,亨通光电,沪深300
600489.SH,中金黄金,沪深300
600498.SH,烽火通信,沪深300
600519.SH,贵州茅台,沪深300
600522.SH,中天科技,沪深300
600547.SH,山东黄金,沪深300
600570.SH,恒生电子,沪深300
600584.SH,长电科技,沪深300
600585.SH,海螺水泥,沪深300
600588.SH,用友网络,沪深300
600600.SH,青岛啤酒,沪深300
600606.SH,绿地控股,沪深300
600637.SH,东方明珠,沪深300
600655.SH,豫园股份,沪深300
600660.SH,福耀玻璃,沪深300
600690.SH,海尔智家,沪深300
600703.SH,三安光电,沪深300
600705.SH,中航资本,沪深300
600741.SH,华域汽车,沪深300
600745.SH,闻泰科技,沪深300
600760.SH,中航沈飞,沪深300
600763.SH,通策医疗,沪深300
600795.SH,国电电力,沪深300
600809.SH,山西汾酒,沪深300
600837.SH,海通证券,沪深300
600845.SH,宝信软件,沪深300
600848.SH,上海临港,沪深300
600872.SH,中炬高新,沪深300
600886.SH,国投电力,沪深300
600887.SH,伊利股份,沪深300
600893.SH,航发动力,沪深300
600900.SH,长江电力,沪深300
600918.SH,中泰证券,沪深300
600919.SH,江苏银行,沪深300
600926.SH,杭州银行,沪深300
600958.SH,东方证券,沪深300
600989.SH,宝丰能源,沪深300
600998.SH,九州通,沪深300
600999.SH,招商证券,沪深300
601006.SH,大秦铁路,沪深300
601009.SH,南京银行,沪深300
601012.SH,隆基股份,沪深300
601021.SH,春秋航空,沪深300
601066.SH,中信建投,沪深300
601077.SH,渝农商行,沪深300
601088.SH,中国神华,沪深300
601100.SH,恒立液压,沪深300
601108.SH,财通证券,沪深300
